ID,TYPE,TARGET
18122,AVK Printer,71
18586,AVK Printer,71
18936,AVK Printer,71
19319,AVK Printer,71
18618,AVK Printer,71
20093,AVK Printer,71
18538,AVK Printer,71
20178,AVK Printer,71
18160,AVK Printer,71
18165,AVK Printer,71
21049,AVK Printer,71
18541,AVK Printer,71
21505,AVK Printer,71
17911,AVK Printer,71
17715,AVK Printer,71
18605,AVK Printer,71
17785,AVK Printer,71
20051,AVK Printer,71
18151,AVK Printer,71
18167,AVK Printer,71
18750,AVK Printer,71
18424,AVK Printer,71
21322,AVK Printer,71
18324,AVK Printer,71
18585,AVK Printer,71
18583,AVK Printer,71
20049,AVK Printer,71
18168,AVK Printer,71
18143,AVK Printer,71
19351,AVK Printer,71
18623,AVK Printer,71
18142,AVK Printer,71
21045,AVK Printer,71
21036,AVK Printer,71
21039,AVK Printer,71
18123,AVK Printer,71
20013,AVK Printer,71
18155,AVK Printer,71
18157,AVK Printer,71
18162,AVK Printer,71
18145,AVK Printer,71
19701,AVK Printer,71
18262,AVK Printer,71
18587,AVK Printer,71
19190,AVK Printer,71
18275,AVK Printer,71
18746,AVK Printer,71
18752,AVK Printer,71
18749,AVK Printer,71
21245,AVK Printer,71
23209,AVK UPS,29
18152,AVK Printer,71
18580,AVK Printer,71
17714,AVK Printer,71
18140,AVK Printer,71
18153,AVK Printer,71
18593,AVK Printer,71
18574,AVK Printer,71
18945,AVK Printer,71
18159,AVK Printer,71
17933,AVK Printer,71
20975,AVK Printer,71
18639,AVK Printer,71
21041,AVK Printer,71
20053,AVK Printer,71
20054,AVK Printer,71
20934,AVK Printer,71
20055,AVK Printer,71
20933,AVK Printer,71
17899,AVK Printer,71
22744,AVK Firewall,111
18602,AVK Access Point,48
20114,AVK IP Phone,146
12514,AVK Firewall,111
19349,AVK Printer,71
17808,AVK Printer,71
18887,AVK Access Point,48
17898,AVK Switch,149
17900,AVK Switch,149
17912,AVK Firewall,111
17921,AVK Firewall,111
17992,AVK Access Point,48
17998,AVK Access Point,48
21670,AVK IP Phone,146
22333,AVK Printer,71
17797,AVK Printer,71
22251,AVK IP Phone,146
19850,AVK PBX,156
18111,AVK Printer,71
19705,AVK Printer,71
21124,AVK Printer,71
18326,AVK Printer,71
21883,AVK Access Point,48
22304,AVK Printer,71
21918,AVK Access Point,48
22497,AVK UPS,29
21440,AVK IP Phone,146
21030,AVK Printer,71
21029,AVK Printer,71
21028,AVK Printer,71
21359,AVK Printer,71
18329,AVK Printer,71
18914,AVK Switch,149
18902,AVK Switch,149
23001,AVK Switch,149
22405,AVK Switch,149
19027,AVK Switch,149
21350,AVK Switch,149
19026,AVK Switch,149
19223,AVK Switch,149
19381,AVK Printer,71
17803,AVK Printer,71
17783,AVK Printer,71
17762,AVK Printer,71
18460,AVK Printer,71
17775,AVK Printer,71
17794,AVK Printer,71
22408,AVK Printer,71
21673,AVK Printer,71
17820,AVK IP Phone,146
17765,AVK Printer,71
17814,AVK Printer,71
17816,AVK Printer,71
20029,AVK Printer,71
17768,AVK Printer,71
17815,AVK Printer,71
17813,AVK Printer,71
17817,AVK Printer,71
18919,AVK Printer,71
18351,AVK IP Phone,146
21347,AVK Access Point,48
21356,AVK Access Point,48
21455,AVK Switch,149
22512,AVK Access Point,48
22914,AVK Printer,71
17780,AVK Printer,71
21280,AVK Network Storage,150
18203,AVK Switch,149
17767,AVK Printer,71
17779,AVK Printer,71
19860,AVK IP Phone,146
18680,AVK UPS,29
21044,AVK UPS,29
19855,AVK Firewall,111
19704,AVK Access Point,48
19871,AVK Access Point,48
19526,AVK IP Phone,146
21074,AVK Access Point,48
19530,AVK Printer,71
21538,AVK Printer,71
21522,AVK Printer,71
22661,AVK IP Phone,146
18318,AVK Printer,71
18743,AVK Printer,71
18129,AVK Printer,71
22470,AVK Access Point,48
22471,AVK Access Point,48
22933,AVK Access Point,48
20111,AVK Access Point,48
18875,AVK Access Point,48
21498,AVK Printer,71
22404,AVK Printer,71
18912,AVK UPS,29
18864,AVK Access Point,48
18871,AVK Access Point,48
17812,AVK Printer,71
18895,AVK UPS,29
17707,AVK Printer,71
18858,AVK Firewall,111
19346,AVK Firewall,111
17957,AVK Access Point,48
17955,AVK Access Point,48
23047,AVK Switch,149
23013,AVK Access Point,48
23015,AVK Access Point,48
19312,AVK Switch,149
22415,AVK Printer,71
18860,AVK Security Appliance,158
18391,AVK Switch,149
18396,AVK Switch,149
18199,AVK Switch,149
22240,AVK Layer 3 Switch,149
18416,AVK Switch,149
18197,AVK Network Storage,150
18293,AVK Layer 3 Switch,149
21531,AVK Layer 3 Switch,149
17759,AVK Layer 3 Switch,149
19531,AVK Switch,149
17753,AVK Switch,149
17754,AVK Switch,149
17755,AVK Switch,149
19595,AVK Switch,149
20237,AVK Access Point,48
20236,AVK Access Point,48
20355,AVK Access Point,48
20277,AVK Access Point,48
20044,AVK Switch,149
20040,AVK PBX,156
20235,AVK Access Point,48
20227,AVK Access Point,48
20238,AVK Access Point,48
20229,AVK Access Point,48
20228,AVK Access Point,48
20232,AVK Access Point,48
20230,AVK Access Point,48
20234,AVK Access Point,48
20231,AVK Access Point,48
20226,AVK Access Point,48
20239,AVK Switch,149
20690,AVK Access Point,48
20244,AVK Access Point,48
20247,AVK Access Point,48
20254,AVK Access Point,48
20246,AVK Access Point,48
20242,AVK Access Point,48
20253,AVK Access Point,48
20272,AVK Access Point,48
20241,AVK Access Point,48
20275,AVK Access Point,48
20249,AVK Access Point,48
20243,AVK Access Point,48
20271,AVK Access Point,48
20273,AVK Access Point,48
20274,AVK Access Point,48
20248,AVK Access Point,48
20245,AVK Access Point,48
20250,AVK Access Point,48
21099,AVK Switch,149
18190,AVK Firewall,111
18634,AVK Switch,149
22916,AVK Switch,149
17758,AVK Switch,149
17751,AVK Switch Stack,149
17757,AVK Switch,149
19045,AVK Switch,149
17750,AVK Switch Stack,149
17756,AVK Switch,149
18188,AVK Firewall,111
18186,AVK Network Storage,150
18192,AVK Firewall,111
23254,AVK Switch,149
23255,AVK Switch,149
23252,AVK Layer 3 Switch,149
23253,AVK Layer 3 Switch,149
21153,AVK Hypervisor,151
21199,AVK Hypervisor,151
18184,AVK Hypervisor,151
18183,AVK Hypervisor,151
18185,AVK Hypervisor,151
18398,AVK Access Point,48
18411,AVK Access Point,48
20233,AVK Access Point,48
18397,AVK Access Point,48
18399,AVK Access Point,48
18404,AVK Access Point,48
18407,AVK Access Point,48
18410,AVK Access Point,48
18405,AVK Access Point,48
18408,AVK Access Point,48
18402,AVK Access Point,48
18400,AVK Access Point,48
18403,AVK Access Point,48
18409,AVK Access Point,48
18401,AVK Access Point,48
18406,AVK Access Point,48
18412,AVK Access Point,48
22400,AVK Access Point,48
21303,AVK Switch,149
19283,AVK Access Point,48
18670,AVK Firewall,111
17433,AVK Network Storage,150
17946,AVK Access Point,48
18007,AVK Wireless Controller,48
21905,AVK Access Point,48
22066,AVK Access Point,48
21985,AVK Access Point,48
21978,AVK Access Point,48
21848,AVK Access Point,48
22079,AVK Access Point,48
21939,AVK Access Point,48
21859,AVK Access Point,48
21881,AVK Access Point,48
22088,AVK Access Point,48
21961,AVK Access Point,48
21925,AVK Access Point,48
21870,AVK Access Point,48
21879,AVK Access Point,48
21948,AVK Access Point,48
22043,AVK Access Point,48
21847,AVK Access Point,48
21851,AVK Access Point,48
22048,AVK Access Point,48
22131,AVK Access Point,48
22122,AVK Access Point,48
22032,AVK Access Point,48
22031,AVK Access Point,48
21904,AVK Access Point,48
22130,AVK Access Point,48
21931,AVK Access Point,48
22027,AVK Access Point,48
22123,AVK Access Point,48
22097,AVK Access Point,48
21945,AVK Access Point,48
21986,AVK Access Point,48
22106,AVK Access Point,48
21921,AVK Access Point,48
22022,AVK Access Point,48
21923,AVK Access Point,48
22126,AVK Access Point,48
21887,AVK Access Point,48
21938,AVK Access Point,48
22046,AVK Access Point,48
22069,AVK Access Point,48
22095,AVK Access Point,48
21831,AVK Access Point,48
21864,AVK Access Point,48
22061,AVK Access Point,48
21974,AVK Access Point,48
21952,AVK Access Point,48
22064,AVK Access Point,48
21869,AVK Access Point,48
21856,AVK Access Point,48
22107,AVK Access Point,48
22020,AVK Access Point,48
21838,AVK Access Point,48
22134,AVK Access Point,48
22139,AVK Access Point,48
21850,AVK Access Point,48
22071,AVK Access Point,48
22127,AVK Access Point,48
21922,AVK Access Point,48
21924,AVK Access Point,48
21834,AVK Access Point,48
21860,AVK Access Point,48
22124,AVK Access Point,48
21944,AVK Access Point,48
22105,AVK Access Point,48
22040,AVK Access Point,48
21970,AVK Access Point,48
22026,AVK Access Point,48
21900,AVK Access Point,48
22050,AVK Access Point,48
22001,AVK Access Point,48
21930,AVK Access Point,48
21830,AVK Access Point,48
22052,AVK Access Point,48
22101,AVK Access Point,48
22129,AVK Access Point,48
21990,AVK Access Point,48
22045,AVK Access Point,48
21996,AVK Access Point,48
21882,AVK Access Point,48
22065,AVK Access Point,48
22136,AVK Access Point,48
22002,AVK Access Point,48
22125,AVK Access Point,48
22096,AVK Access Point,48
21977,AVK Access Point,48
21840,AVK Access Point,48
21916,AVK Access Point,48
22007,AVK Access Point,48
21975,AVK Access Point,48
22091,AVK Access Point,48
22072,AVK Access Point,48
21843,AVK Access Point,48
21949,AVK Access Point,48
21855,AVK Access Point,48
21926,AVK Access Point,48
21863,AVK Access Point,48
21971,AVK Access Point,48
22014,AVK Access Point,48
21878,AVK Access Point,48
22121,AVK Access Point,48
22073,AVK Access Point,48
21903,AVK Access Point,48
21979,AVK Access Point,48
21874,AVK Access Point,48
22054,AVK Access Point,48
21889,AVK Access Point,48
21910,AVK Access Point,48
22135,AVK Access Point,48
21959,AVK Access Point,48
21842,AVK Access Point,48
22003,AVK Access Point,48
21999,AVK Access Point,48
22142,AVK Access Point,48
22062,AVK Access Point,48
21835,AVK Access Point,48
21892,AVK Access Point,48
21936,AVK Access Point,48
21845,AVK Access Point,48
22008,AVK Access Point,48
22025,AVK Access Point,48
21898,AVK Access Point,48
